,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Pres_avg,Precipitation,Date
0,14.7,7,72.2,7.8,30,0,01-01-2001
1,17.4,11,76,13.7,30.1,0,02-01-2001
2,22.7,18,82.2,25.1,29.8,0,03-01-2001
3,27,22.1,82.6,14.3,29.1,0,04-01-2001
4,31.7,19.2,92,23.3,29.2,0,05-01-2001
5,26.7,19.6,75.6,10.4,29.4,0,06-01-2001
6,30.4,22.7,93,6,29.2,0,07-01-2001
7,23,17.2,78.5,9.7,28.9,0,08-01-2001
8,19.7,14.1,78.9,19.3,29.7,0,09-01-2001
9,28.4,23.2,81.2,12.3,29.7,0,10-01-2001
10,33.3,16.9,83.2,11.8,29.8,0,11-01-2001
11,28.9,25.4,87,8.2,30,0,12-01-2001
12,32.1,18.6,86.6,8.1,30,0,13-01-2001
13,34.7,13,90,8.4,29.9,0,14-01-2001
14,34.6,30.7,98.5,15.3,29.3,0,15-01-2001
15,35.7,27.7,81.7,14,29.7,0,16-01-2001
16,27.5,20.6,75.6,7.1,29.9,0,17-01-2001
17,31.9,26.6,80.8,14.8,29.8,0,18-01-2001
18,29.1,22,74.1,9.8,28.8,0,19-01-2001
19,13.7,2.1,61,7,29.9,0,20-01-2001
20,22.8,15,72.7,12.7,29.9,0,21-01-2001
21,29.6,20.4,68.7,15.5,30.1,0,22-01-2001
22,33.4,26.6,77.3,17,29.8,0,23-01-2001
23,32.6,24.2,71.4,12.6,29.7,0,24-01-2001
24,22.8,13.2,66.8,14.4,29.9,0,25-01-2001
25,28.4,22.7,78.7,14,29.1,0,26-01-2001
26,29.6,26.2,87.7,9.9,29.2,0,27-01-2001
27,26.1,18.7,73.7,16.7,29.9,0,28-01-2001
28,30.9,23.7,75.7,8.8,29.9,0,29-01-2001
29,35.4,33.2,97,11.9,29.2,0,30-01-2001
30,35.9,33.1,96,12.4,29.2,0,31-01-2001
31,33.7,25.6,80.5,11.4,29.7,0,01-02-2001
32,18.8,17.3,84,19.1,28.9,0,02-02-2001
33,19.8,10.4,67,8.6,30,0,03-02-2001
34,32.2,23.5,86.1,9.7,29.8,0,04-02-2001
35,36,32.7,92.7,9.7,29.6,0,05-02-2001
36,33.5,20.2,85.8,9.3,29.6,0,06-02-2001
37,34.4,23.6,65.4,14,30,0,07-02-2001
38,32.1,11.3,94.5,13.7,30,0,08-02-2001
39,37.7,37.4,98.8,9.7,29,0,09-02-2001
40,25.9,15.2,66.5,25.2,29.7,0,10-02-2001
41,15.7,3.7,60.1,9.6,30.4,0,11-02-2001
42,25,14.9,65.7,10.8,30.2,0,12-02-2001
43,32.9,24.5,75.9,5,30.1,0,13-02-2001
44,33.9,25.8,98.2,3.3,29.6,0,14-02-2001
